Frequency_Hz,Gain_dB
10.000000,-0.017112
10.186290,-0.017754
10.376050,-0.018420
10.569346,-0.019111
10.766242,-0.019828
10.966806,-0.020572
11.171107,-0.021344
11.379213,-0.022144
11.591196,-0.022975
11.807128,-0.023836
12.027083,-0.024730
12.251136,-0.025657
12.479362,-0.026619
12.711840,-0.027617
12.948649,-0.028652
13.189869,-0.029726
13.435583,-0.030840
13.685874,-0.031995
13.940828,-0.033194
14.200532,-0.034437
14.465073,-0.035727
14.734543,-0.037065
15.009033,-0.038453
15.288636,-0.039892
15.573448,-0.041385
15.863565,-0.042934
16.159088,-0.044540
16.460115,-0.046206
16.766750,-0.047934
17.079098,-0.049726
17.397264,-0.051585
17.721358,-0.053513
18.051489,-0.055513
18.387770,-0.057586
18.730315,-0.059737
19.079242,-0.061968
19.434669,-0.064281
19.796718,-0.066679
20.165510,-0.069167
20.541173,-0.071747
20.923835,-0.074422
21.313625,-0.077196
21.710676,-0.080072
22.115124,-0.083055
22.527106,-0.086147
22.946764,-0.089354
23.374239,-0.092678
23.809677,-0.096125
24.253227,-0.099699
24.705041,-0.103403
25.165271,-0.107244
25.634074,-0.111226
26.111611,-0.115354
26.598044,-0.119632
27.093539,-0.124067
27.598264,-0.128664
28.112392,-0.133429
28.636097,-0.138368
29.169559,-0.143486
29.712958,-0.148790
30.266481,-0.154287
30.830315,-0.159984
31.404652,-0.165887
31.989689,-0.172003
32.585625,-0.178340
33.192662,-0.184906
33.811008,-0.191708
34.440873,-0.198754
35.082471,-0.206054
35.736022,-0.213615
36.401748,-0.221447
37.079876,-0.229558
37.770637,-0.237958
38.474266,-0.246657
39.191002,-0.255665
39.921091,-0.264991
40.664781,-0.274648
41.422325,-0.284645
42.193981,-0.294993
42.980012,-0.305705
43.780686,-0.316791
44.596276,-0.328265
45.427060,-0.340138
46.273320,-0.352424
47.135345,-0.365134
48.013429,-0.378284
48.907871,-0.391886
49.818975,-0.405955
50.747052,-0.420505
51.692419,-0.435550
52.655396,-0.451107
53.636313,-0.467189
54.635504,-0.483814
55.653308,-0.500997
56.690073,-0.518755
57.746152,-0.537104
58.821904,-0.556061
