Frequency_Hz,Phase_deg
10.000000,-3.595274
10.186290,-3.662070
10.376050,-3.730099
10.569346,-3.799386
10.766242,-3.869951
10.966806,-3.941819
11.171107,-4.015013
11.379213,-4.089558
11.591196,-4.165476
11.807128,-4.242794
12.027083,-4.321536
12.251136,-4.401729
12.479362,-4.483397
12.711840,-4.566568
12.948649,-4.651269
13.189869,-4.737527
13.435583,-4.825369
13.685874,-4.914824
13.940828,-5.005922
14.200532,-5.098690
14.465073,-5.193159
14.734543,-5.289358
15.009033,-5.387319
15.288636,-5.487072
15.573448,-5.588650
15.863565,-5.692083
16.159088,-5.797405
16.460115,-5.904649
16.766750,-6.013848
17.079098,-6.125036
17.397264,-6.238247
17.721358,-6.353518
18.051489,-6.470883
18.387770,-6.590378
18.730315,-6.712040
19.079242,-6.835906
19.434669,-6.962013
19.796718,-7.090400
20.165510,-7.221106
20.541173,-7.354168
20.923835,-7.489628
21.313625,-7.627524
21.710676,-7.767898
22.115124,-7.910790
22.527106,-8.056243
22.946764,-8.204298
23.374239,-8.354997
23.809677,-8.508385
24.253227,-8.664503
24.705041,-8.823397
25.165271,-8.985110
25.634074,-9.149688
26.111611,-9.317175
26.598044,-9.487617
27.093539,-9.661060
27.598264,-9.837551
28.112392,-10.017136
28.636097,-10.199862
29.169559,-10.385776
29.712958,-10.574927
30.266481,-10.767363
30.830315,-10.963130
31.404652,-11.162279
31.989689,-11.364857
32.585625,-11.570913
33.192662,-11.780496
33.811008,-11.993655
34.440873,-12.210440
35.082471,-12.430898
35.736022,-12.655080
36.401748,-12.883033
37.079876,-13.114807
37.770637,-13.350451
38.474266,-13.590012
39.191002,-13.833539
39.921091,-14.081080
40.664781,-14.332682
41.422325,-14.588391
42.193981,-14.848255
42.980012,-15.112319
43.780686,-15.380628
44.596276,-15.653226
45.427060,-15.930157
46.273320,-16.211464
47.135345,-16.497188
48.013429,-16.787369
48.907871,-17.082047
49.818975,-17.381260
50.747052,-17.685045
51.692419,-17.993436
52.655396,-18.306468
53.636313,-18.624171
54.635504,-18.946577
55.653308,-19.273713
56.690073,-19.605606
57.746152,-19.942279
58.821904,-20.283754
59.917697,-20.630051
61.033903,-20.981186
62.170903,-21.337173
63.329084,-21.698023
64.508841,-22.063746
65.710575,-22.434346
66.934697,-22.809826
68.181623,-23.190184
69.451778,-23.575416
70.745594,-23.965514
72.063513,-24.360466
73.405984,-24.760257
74.773463,-25.164867
76.166417,-25.574272
77.585321,-25.988444
79.030657,-26.407352
80.502918,-26.830959
82.002606,-27.259225
83.530232,-27.692103
85.086316,-28.129543
86.671388,-28.571491
88.285988,-29.017887
89.930667,-29.468665
91.605985,-29.923757
93.312512,-30.383088
